,Top_n_probs,Top_n_peaks,Performance(%)
0,1,1,75.0
1,1,3,66.75
2,1,5,60.0
3,1,10,65.0
4,1,20,55.0
5,2,1,100.0
6,2,3,91.75
7,2,5,90.0
8,2,10,87.5
9,2,20,83.33
10,3,1,87.5
11,3,3,80.25
12,3,5,75.25
13,3,10,78.0
14,3,20,71.0
15,4,1,82.25
16,4,3,77.5
17,4,5,70.75
18,4,10,75.25
19,4,20,69.0
20,5,1,78.25
21,5,3,74.75
22,5,5,67.75
23,5,10,73.0
24,5,20,67.33
25,6,1,75.5
26,6,3,73.25
27,6,5,66.75
28,6,10,72.25
29,6,20,66.0
30,7,1,73.25
31,7,3,72.25
32,7,5,65.0
33,7,10,71.0
34,7,20,64.67
35,8,1,72.0
36,8,3,70.75
37,8,5,64.0
38,8,10,70.25
39,8,20,63.67
40,9,1,71.5
41,9,3,70.5
42,9,5,64.0
43,9,10,70.0
44,9,20,63.33
45,10,1,71.25
46,10,3,70.25
47,10,5,63.25
48,10,10,70.0
49,10,20,63.0
50,11,1,71.0
51,11,3,70.0
52,11,5,63.0
53,11,10,69.25
54,11,20,63.0
55,12,1,70.75
56,12,3,70.0
57,12,5,63.0
58,12,10,69.25
59,12,20,63.0
