,Season,Top_n_peaks,Top_n_probs,HitRate(%),Performance(%),12,15,16,17,18,19,20
0,2019-2020,1,1,1/1(100.0%),100.0,0/0,0/0,0/0,1/1(100.0%),0/0,0/0,0/0
1,2016-2017,1,1,0/1,0.0,0/0,0/0,0/0,0/0,0/1,0/0,0/0
2,2018-2019,1,1,1/1(100.0%),100.0,0/0,0/0,0/0,1/1(100.0%),0/0,0/0,0/0
3,2017-2018,1,1,1/1(100.0%),100.0,0/0,0/0,0/0,1/1(100.0%),0/0,0/0,0/0
4,2019-2020,3,1,3/3(100.0%),100.0,0/0,0/0,0/0,3/3(100.0%),0/0,0/0,0/0
5,2016-2017,3,1,2/3(67.0%),67.0,0/0,0/0,0/0,2/2(100.0%),0/1,0/0,0/0
6,2018-2019,3,1,1/3(33.0%),33.0,0/0,0/1,0/0,1/1(100.0%),0/1,0/0,0/0
7,2017-2018,3,1,2/3(67.0%),67.0,0/0,0/0,0/0,2/3(100.0%),0/0,0/0,0/0
8,2019-2020,5,1,3/5(60.0%),60.0,0/1,0/0,0/0,3/3(100.0%),0/1,0/0,0/0
9,2016-2017,5,1,3/5(60.0%),60.0,0/0,0/0,0/0,3/3(100.0%),0/2,0/0,0/0
10,2018-2019,5,1,3/5(60.0%),60.0,0/0,0/1,0/0,3/3(100.0%),0/1,0/0,0/0
11,2017-2018,5,1,3/5(60.0%),60.0,0/0,0/0,0/0,2/3(100.0%),1/2(100.0%),0/0,0/0
12,2019-2020,10,1,7/10(70.0%),70.0,0/1,0/0,0/0,7/8(100.0%),0/1,0/0,0/0
13,2016-2017,10,1,7/10(70.0%),70.0,0/1,0/0,0/0,7/7(100.0%),0/2,0/0,0/0
14,2018-2019,10,1,6/10(60.0%),60.0,0/1,0/1,0/0,6/6(100.0%),0/1,0/1,0/0
15,2017-2018,10,1,6/10(60.0%),60.0,0/0,0/0,0/0,3/4(100.0%),3/6(100.0%),0/0,0/0
16,2016-2017,20,1,11/20(55.0%),55.0,0/1,0/0,0/2,11/11(100.0%),0/6,0/0,0/0
17,2018-2019,20,1,10/20(50.0%),50.0,0/1,0/1,0/2,9/10(100.0%),1/4(100.0%),0/1,0/1
18,2017-2018,20,1,12/20(60.0%),60.0,0/0,0/0,0/0,6/7(100.0%),5/10(100.0%),1/2(100.0%),0/1
